"name","rating_count"
"Punjabi Nawabi",500
"Adiga's",500
"BOSS Burger",500
"Asha Sweet Center",500
"Tomba kitchen",500
"Taco Bell",500
"Peetuk",500
"Savoury Restaurant",500
"RNR Biryani - Taste of 1953",500
"New Udupi Garden Veg",500
"Odia dine",500
"Paris Panini - French Street Food",500
"Subway",500
"Uncle Peter's Pancakes",500
"Kailash Parbat",500
"Potful - Claypot Biryanis",500
"The Pizza Bakery",500
"Lo! - Low Carb and Keto Foods",500
"Basco And Fry",500
"Louis Burger",500
"Nandhini Deluxe",500
"Rolls On Wheels",500
"FreshMenu",500
"Donne Biriyani Mane",500
"Anna Kuteera",500
"Leon grill",500
"Little Italy",500
"Breakfast Express",500
"Dal Tadkaa",500
"CakeZone",500
"SLV Swadishta (South Indian)",500
"EatFit",500
"Oven Story Pizza",500
"Anand Sweets and Savouries",500
"Chinese Wok (Wok Express)",500
"OYE PARATHA (Makhan Mar Ke)",500
"Taco Bell",500
"Bangalore Mandarin",500
"The Coffee House",500
"Domino's Pizza",500
"Millet Express",500
"Subway",500
"Moriz Restaurant",500
"Potful - Claypot Biryanis",500
"Chinese Wok (Wok Express)",500
"Beijing Bites",500
"Chaat Street",500
"Dil se Dilli",500
"Srinidhi Signature",500
"Andhra Gunpowder",500
"Desi Khana",500
"Roj ka Khana(Daily Meals)",500
"Samosa Party",500
"Sorse",500
"The Bake Feast",500
"Orbis Restaurant",500
"Kerala Kitchen",500
"CakeZone",500
"dhaba square",500
"Mayura Sagar",500
"Rolls On Wheels",500
"Kanti Sweets",500
"AL-BEK",500
"Biryani Blues",500
"Biryani By Kilo",500
"Chaayos Chai+Snacks=Relax",500
"Chai Point",500
"Istah Shawarma",500
"The Tea Brewery",500
"Biriyani Zone",500
"Chicking",500
"Roti Ghar Ki",500
"Moriz Whitefield",500
"Glen's Bakehouse",500
"The Punjabi Rasoi",500
"Sri Udupi Food Hub",500
"Bhojanam",500
"Dindigul Thalappakatti",500
"Soul Rasa",500
"Louis Burger",500
"McDonald's",500
"Udupi Thindies",500
"North Indian Bhukkads -NIB",500
"Punjabi Dhaba",500
"Breakfast Express",500
"Park Street",500
"Aaha Andhra",500
"Domino's Pizza",500
"Lo! - Low Carb and Keto Foods",500
"Kapoor's Cafe",500
"RNR Biryani - Taste of 1953",500
"Chowman",500
"Matru Sagar",500
"Sikori",500
"NIC Natural Ice Creams",500
"Sukh Sagar",500
"Wokanaka - the Casual Chinese Pitstop",500
"Dindigul Thalappakatti",500
"HAKKA BOX",500
"Have More",500
"Al-Baik Tandoori restaurant",500
"WarmOven Cakes & Desserts",500
"Fiero! Pizzeria",500
"Goldline Breadz",500
"The Hole in the wall cafe",500
"Delicacy",500
"Sri Udupi Food Hub",500
"Kannur Restaurant",500
"Dilawar",500
"IFC",500
"Breakfast Express",500
"Anjappar",500
"Chopstick",500
"Savoury Restaurant",500
"Onesta",500
"Chikpet Donne Biriyani House",500
"Srinidhi Upachar",500
"Chai Point",500
"Natural Ice Cream",500
"7 Plates",500
"SMOOR",500
"Chaat Street",500
"Chaayos Chai+Snacks=Relax",500
"Samosa Party",500
"Chinese BAE",500
"Kaati Zone Rolls & Wraps",500
"ANAGHA GRAND VEG",500
"Dwaraka Grand",500
"Domino's Pizza",500
"Hari Super Sandwich",500
"New Biryani Mane",500
"UDUPI SWADA",500
"Sri Krishna Aramane",500
"Kullad Cafe",500
"Pizza Hut",500
"Jose Mess",500
"Ghar Ka Khana",500
"Litti Twist",500
"LunchBox - Meals and Thalis",500
"O4H - Order For Health",500
"Domino's Pizza",500
"Kailash Parbat",500
"Chai Point",500
"TrueCakes",500
"Ultimate Parathas",500
"KFC",500
"99 Variety Dosa and Pav Bhaji",500
"Darjeeling Hot Momos",500
"TEXAS BURGERS",500
"Captain Olive",500
"Malnad Donne Biriyani MDB",500
"Kota Kachori And Falahaar",500
"Taste of malabar",500
"Madurai idly Shop",500
"Taco Bell",500
"Sharief Bhai",500
"BOX8 - Desi Meals",500
"NEW Mahesh friends food center",500
"Hiyar Majhe Kolkata",500
"CakeZone",500
"Tandoori Merchant",500
"Savoury - Sea Shell Restaurant",500
"Donne Biryani",500
"Udupi Gokula Veg",500
"Paradise Biryani",500
"Domino's Pizza",500
"New Udupi Garden Veg",500
"Pasta Street",500
"NISO Chinese Restaurant",500
"Social",500
"Domino's Pizza",500
"Corner House Ice Cream",500
"WarmOven Cakes & Desserts",500
"TKS Iyengars",500
"Natural Ice Cream",500
"McDonald's",500
"Delicacy",500
"Savoury",500
"Mangalore Pearl",500
"ITC Master Chef Creations",500
"Puliyogare Point",500
"Delhi Mess",500
"Gabru Bistro & Cafe",500
"Sharief Bhai",500
"Sultan Rolls & Sandwiches",500
"Chaat Street",500
"Flavors of North",500
"Ayodhya Aahar",500
"Pulusu Bangalore",500
"Chicking",500
"Nandhini Deluxe",500
"The Pizza Bakery",500
"Akshaya Deluxe",500
"Om Sai Ram Food Junction",500
"Hunan",500
"Glen's Bakehouse",500
"Onesta",500
"Chinese Wok (Wok Express)",500
"Le MoMo",500
"TASTE OF COAST",500
"Udupi Garden",500
"Rishi's Paratha Plaza",500
"Potful - Claypot Biryanis",500
"Udupi Park Inn",500
"homely",500
"homely",500
"Maa Da Dhaba Express",500
"Sharief Bhai",500
"Maa Da Dhaba",500
"Auntie Fung's",500
"Thalassery Restaurant",500
"California Burrito",500
"CORNERHOUSE ICE CREAM",500
"Nandhana Palace",500
"Dine Spot",500
"Biriyani Zone",500
"Brahmins' Thatte Idli",500
"Thalaivars Biryani",500
"Sangam Sweets",500
"Wow! China",500
"MTR",500
"Lulu Hypermarket",500
"homely",500
"RNR Biryani - Taste of 1953",500
"New Biryani Mane",500
"Udupi Upahar- Raghuvanahalli",500
"Domino's Pizza",500
"Vishnu Garden",500
"Bakingo",500
"New Shanthi Sagar",500
"Joys Kuttanadu Restaurant",500
"Beijing Bites",500
"KFC",500
"Chinese BAE",500
"7 Plates",500
"Chopstick",500
"Momoz",500
"Pizza Hut",500
"Imperio Restaurant",500
"Thalaivars Biryani",500
"Sri Sai Palace",500
"Kapoor's Cafe",500
"Dunkin'",500
"Auntie Fung's",500
"Rajwadi",500
"Orbis Restaurant",500
"Subway",500
"Hyderabad Chefs",500
"Domino's Pizza",500
"Thalassery Cafe",500
"Pizza Hut",500
"Gowri Gajandand Sweets",500
"Maalgaadi by Dhaba Estd 1986 Delhi",500
"Istah - Shawarma & Biryani",500
"Anand Sweets and Savouries",500
"Puchkas 'Your Own Chaat House'",500
"Sai Foods",500
"Erivum Puliyum",500
"Samosa Party",500
"Nizam's Biryani House",500
"Brahmins Tiffin Center",500
"Chaayos Chai+Snacks=Relax",500
"KRITUNGA RESTAURANT (outer ring road)",500
"New Udupi Upahar",500
"ITC Master Chef Creations",500
"Onesta",500
"Madurai Idly Shop",500
"TrueCakes",500
"Chowman",500
"Namma Madurai",500
"Ohh Kolkata",500
"Dhaba Estd 1986 Delhi",500
"Udupi Upachar",500
"Imperial Restaurant",500
"Polar Bear",500
"Momoz",500
"Dilli Da Dhaba",500
"Brahmi Aahar",500
"RNR Biryani - Taste of 1953",500
"homely",500
"Srinidhi Fast Food",500
"New Udupi Kitchen",500
"NIC Natural Ice Creams",500
"Leon grill",500
"New Biryani Mane",500
"Paakashala",500
"Kaapi Katte",500
"ROTTI  ANGADI",500
"Onesta",500
"A Z Ambur Dum Biryani",500
"Beijing Bites",500
"UDUPI GARDENIA",500
"Savoury Restaurant",500
"Biryani Blues",500
"Rannaghar",500
"Kabab Souq",500
"Andhra Gunpowder",500
"Iyer Idly",500
"Tawakkal mubarak hotel",500
"Angel Mess",500
"Biriyani Zone",500
"Mother's Meal",500
"Burger King",500
"KFC",500
"McDonald's",500
"Sri Murugan Cafe",500
"KC Das Sweets",500
"Beijing Bites",500
"New Delicacy",500
"FreshMenu",500
"Pallavi Restaurant Authentic taste from Gulbarga",500
"Desi Dhaba",500
"RNR Biryani - Taste of 1953",500
"Seasons",500
"EatFit",500
"KFC",500
"Mani's Dum Biryani",500
"Nandanam Restaurant",500
"Nandhana Palace",500
"The Punjabi Rasoi",500
"Andhra Gunpowder",500
"Subway",500
"Biggies Burger",500
"Breakfast Express",500
"CakeZone",500
"Laddoos",500
"Onesta",500
"Kanti Sweets",500
"Indian Grill House",500
"Village Restaurant",500
"NIC Natural Ice Creams",500
"Leon Grill",500
"Paradise Biryani",500
"FreshMenu",500
"Beijing Bites",500
"Thalassery Restaurant",500
"Chaat Street",500
"Andhra Tiffins & Meals",500
"Yo! Chow",500
"Nilavara Restaurant",500
"Millet Express",500
"Anjappar",500
"Hyderabadi Kitchen",500
"Thalassery Restaurant",500
"Peetuk",500
"McDonald's",500
"RNR Biryani - Taste of 1953",500
"T4Chai",500
"Sri Lakshmi Vaibhava",500
"Sri lakshmi Vaibhav",500
"Domino's Pizza",500
"homely",500
"New Shanthi Sagar",500
"RNR Biryani - Taste of 1953",500
"Burger King",500
"Sri Udupi Food Hub",500
"Kedia's Funfood",500
"Upahara Darshini",500
"Glen's BakeHouse",500
"Natraj Chole Bhature",500
"Shiv Sagar Signature",500
"New Udupi Upahar",500
"Nagarjuna Chimney",500
"Rolls On Wheels",500
"The Krishna Grand",500
"Natural Ice Cream",500
"Chai Point",500
"Rajathadri Food Fort",500
"Pizza Hut",500
"Andhra Ruchulu",500
"Donne Biriyani House",500
"Halli Jonne Biriyani",500
"Maiyas Restaurants",500
"Theobroma",500
"Burger King",500
"FreshMenu",500
"Hyderabad Biryaani House",500
"California Burrito",500
"Smoke House Deli",500
"Anand Sweets and Savouries",500
"Beijing Bites",500
"Palmgrove Ballal Residency",500
"Mani's Dum Biryani",500
"Corner House Ice Cream",500
"EatFit",500
"Bhartiya Jalpan",500
"Hotel Empire",500
"No.10 Fort Cochin",500
"homely",500
"Leon Grill",500
"Louis Burger",500
"Chai Point",500
"Wow! Momo",500
"Rolls",500
"Badsahi Biriyani",500
"First Choice Biryani",500
"Canteen C1",500
"New Red Chilly",500
"Foot Path",500
"Swad Restaurant",500
"Annapurna Rasoi",500
"Delight Pizza Point",500
"Flashback",500
"Glory Sweets",500
"Bajrang Dhaba Family Dhaba Restaurant",500
"McDonald's",500
"Vdesi Kitchen And Cafe",500
"Khatu Ji Vaishnu Dhaba",500
"Pizza Pizza Cafe",500
"Roti Wala",500
"Roll Wale",500
"Anupam Family Restaurant",500
"Kareem s Kitchen",500
"BBC Bakery & Cafe - Tilakwadi",500
"Niyaaz, Tilakwadi",500
"Charminar Hotel",500
"Salt Water Resto Cafe",500
"McDonald's",500
"KFC",500
"Wrap Hub",500
"Mio Amore",500
"Ismail Kabab Korner",500
"Food Junction",500
"7Th Heaven Cake Shop",500
"Al Khaleej Arabian Restaurant",500
"Crave Eatables -Ghogha Circle",500
"Chhattisgarh Bhojnalay",500
"Chandrika Biriyani Family Point",500
"Suprabath Foods",500
"Sri Abhiruchi Restaurant",500
"DALCHINI Greens",500
"Bistro At 13",500
"Al-Beik - Indrapuri",500
"Rahul Meena Momos",500
"99 rotiwala-bhopal",500
"ETHIRAJ RESTAURANT",500
"Sagar Gaire Fast Food - 7 Number",500
"Sharma & Vishnu Fast Food",500
"Anjani Bhojnalay",500
"Oven Story Pizza",500
"Biryani By Kilo",500
"Natural Ice Cream",500
"Bikanervala",500
"Faasos - Wraps & Rolls",500
"Rajhans Thali",500
"Taste of India MP Nagar",500
"Behrouz Biryani",500
"Sharma & Vishnu Fast Food - 7 No",500
"Idli & More",500
"Nawab's Kebab & Curries",500
"Bapu ki kutia -New Market",500
"Ganesham Fast Food - New market",500
"Mama Juice Bar",500
"Shikha Restaurant",500
"Laziz Zam Zam Restaurant",500
"Taste Of Street",500
"Sagar Gaire - Hoshangabad Road",500
"Bapu Ki Kutia",500
"Twist Of Tadka",500
"Anjani Veg Bhojnalay",500
"Taste of India Kolar Road",500
"Burger Nine",500
"Oberai Bakers & Cafe",500
"Priya",500
"WOK OF CHINA",500
"Pizza Hut",500
"KFC",500
"Subway",500
"Biryani 247",500
"HOTEL VENUS",500
"Afiya Delight The Restaurant",500
"CHATURBHUJA LEGACY",500
"Kwality Walls Frozen Dessert and Ice Cream Shop",500
"Maharaja Ganguram",500
"NIC Natural Ice Creams",500
"Biryani Blues",500
"Thapa Chinese",500
"Sum Yum Asia",500
"Harish Bakery",500
"KFC",500
"Prince Ki Rasoi",500
"Gulab Wala",500
"Theobroma",500
"Alwar Sweets",500
"Claypot Kitchens - Veg Paradise",500
"NIC Natural Ice Creams",500
"THE SHAWARMA JUNCTION",500
"BOX8 - Desi Meals",500
"Steamed & Fried",500
"Thalaivars Biryani",500
"CHAMPARAN DESI GHEE MUTTON & CHICKEN",500
"D.S Hunger Hut",500
"Bikkgane Biryani",500
"Parashar kitchen",500
"Nutriphy",500
"Subhub",500
"Naivedyam",500
"Manorma",500
"Salad Company",500
"Chef Style",500
"Yangkiez by Momo Mami",500
"Faasos - Wraps & Rolls",500
"Fu.D",500
"Royal Spice",500
"Biryani By Kilo",500
"Madurai Meenakshi Bhawan",500
"Mr Noodles",500
"South Store",500
"ShawarmaoNa",500
"Capital Restaurant & Bar-Be-Que",500
"Behrouz Biryani",500
"Kulcha Lal Paratha Das",500
"House of Chow",500
"Caterspoint",500
"Chinese Fiction (Authentic Thai & Chinese)",500
"Yumways",500
"JVR - Jai Vaishno Rasoi",500
"Paratha Wala",500
"TWO HUNGRY STONERS",500
"Daily Eats",500
"Stanley Ka Khichdi Dibba",500
"Great Indian Khichdi by EatFit",500
"Tandoori Lane",500
"Burgerama",500
"UBQ by Barbeque Nation",500
"Pind Balluchi (Sector 29)",500
"Dhaba 31",500
"Box Office- The Urban Dhaba",500
"GIZA (Main Branch)",500
"Mr. Somay Kathmandu Momos",500
"Madrasi Treat",500
"Wow! Momo",500
"Aroti Restaurant",500
"Shahi Darbar - ISM",500
"New Bombay Sweets",500
"Apple Restaurant",500
"Peep-In",500
"Champaran Meat House",500
"Gunjan Restaurant",500
"Chatore",500
"Labela Restaurant",500
"La Pino'z Pizza",500
"Wow! Momo",500
"KFC",500
"Sheetal Udupi Pure Veg",500
"McDonald's",500
"Subway",500
"The Curry",500
"New Sheetal Restaurant",500
"Unique Restaurant",500
"Niyaaz",500
"Pizza Hut",500
"NIYAAZ PORVORIM",500
"SUDIP RESTAURANT",500
"WALKE FOOD STATION",500
"La Pino'z Pizza",500
"Burger King",500
"Roll Xpress",500
"Katani Dhaba (Jalvayu Tower)",500
"Puran Singh Ka Mashoor Vishal Dhaba",500
"Domnic s Pizza",500
"KFC",500
"Katani's Sweets Bakery & Fast Food (Plaza 117)",500
"11 Eleven Food Junction",500
"Amritsari Food Platter",500
"Avin Karthik",500
"Dominick Pizza",500
"National Bakers (Patiala Road)",500
"Grilled N Chilled",500
"NIC Natural Ice Creams",500
"DELHI PAHADGANJ KE CHHOLE BHATURE",500
"Baba Ki Rasoi",500
"The China Town",500
"Flavours of Punjab",500
"Chawla's Since 1960",500
"Al-Noor Biryani Centre",500
"McDonald's",500
"Burger Singh (Big Punjabi Burgers)",500
"Hungroo",500
"SHREE GANESH",500
"Momo Magic Cafe",500
"Krishan Chat Bhandar",500
"Babu Ram Chinese Fast Food.",500
"Amritsari Kulcha Hub",500
"Kathmandu Chinese Food",500
"Roll Xpress",500
"Soya Chaap & Kathi Rolls",500
"Prantha 24X7",500
"HUNGRY SHUNGRY",500
"Faasos - Wraps & Rolls",500
"Hoshiarpuria 3b2",500
"Behrouz Biryani",500
"Pizza Hut",500
"KFC",500
"Cafe Every Day",500
"Sher-E-Punjab",500
"UBQ by Barbeque Nation",500
"Chef on Fire - Rolls, Momo & Shakes",500
"The Burger Yum",500
"DND - Daily Nutritional Diet",500
"Wok N Tok",500
"Roll Hub",500
"Sagar Ratna",500
"PIZZA HOOD",500
"Roll Xpress",500
"Pizza Galleria",500
"Knam",500
"NIC Natural Ice Creams",500
"Biryani By Kilo",500
"La Pino'z Pizza",500
"KFC",500
"Punjabi Chaskkaa",500
"Himalayan Food Plaza",500
"Pizza Galleria",500
"KFC",500
"Kumar Rasoi",500
"Gopal Ji Confectioners",500
"NIC Natural Ice Creams",500
"Uncle Jack's",500
"Soya Hub",500
"Roll Nation",500
"Wah Ji Wah",500
"Dominic Pizza (Sector 40)",500
"New Krishan Chat Shop",500
"Subway",500
"Deepak Dhaba",500
"Taco Bell",500
"Burger Singh (Big Punjabi Burgers)",500
"Lazeez Rasoi",500
"Uncle Jack's",500
"Ram Dairy",500
"Roll Xpress",500
"JnJ's",500
"Apna kitchen",500
"NIC Natural Ice Creams",500
"Faasos - Wraps & Rolls",500
"Quality Restaurant",500
"SOUL  FOOD",500
"Katani's Dhaba, Sweets & Fast Food",500
